Year,"Strategy 1
(Momentum)","Strategy 2
(Mean Reversion)","Strategy 3
(Low Vol)","Strategy 4
(Dual Momentum)","Strategy 5
(Concentrated+Leverage)","Master
(Regime+VolTarget)","Benchmark
(SPY)","Avg Stock
(Equal-weight B&H)","Top Stocks
(Winner B&H)"
2005,0.0698851516641037,0.0028673249528610167,0.021347042164545416,-0.02878979402673143,-0.04775518457503769,0.042741473343791636,-0.0657939363446608,0.2427122375558517,0.5261565975851266
2006,0.25016788903334053,-0.010442839172302931,0.20754720950943684,0.23553209364363292,0.8172290622223721,0.22449171719982042,0.03420501215803129,0.2403963243066667,0.5843881250346106
2007,-0.05327506659688486,-0.007355385522717972,-0.014400054493625358,0.10023077774531775,0.09050745891219325,-0.03128274682271848,0.2104263507167099,-0.03479004241331085,0.0058811077608216245
2008,0.25489600334827833,0.026090495459925922,0.31849423854160785,0.22829462698424208,0.3472223651861259,0.23877520945533326,0.12945569975828297,0.2638192363055403,0.44474089505091774
2009,0.15783248028633134,-0.05882118844673123,-0.021689811023377192,0.12064666691259518,-0.009604022978083604,0.06396413753007746,-0.06558932456470334,-0.07916803397155603,-0.18211758579351545
2010,0.22029705031073243,-0.027063461109885112,0.1688768430773404,0.10837600349689946,0.06034799835886662,0.16077346120163272,0.3505303442403367,0.1334620100407229,0.4617006669198638
2011,0.22238199984007845,-0.020236795607838864,0.2000384827229058,0.0686743225002795,-0.06431869617728359,0.12753689347185837,-0.03389104710558888,0.167303341854516,0.37793078471716735
2012,-0.06603881630471486,-0.019000013995449927,-0.06193858165299282,-0.024301438455948787,-0.05076043544725661,-0.0751319134833055,0.170364548729653,-0.07173440465070446,-0.12277116297911883
2013,0.0278941178530272,-2.4154528271314035e-05,0.07415349434777174,0.14466427925660907,0.2459193955203003,0.07222687688412543,-0.08591605364504495,0.02949762196721406,0.30246605694115614
2014,0.09687850060867143,0.008875042375515063,0.2190235339844404,0.20393477583588715,0.39054908987135417,0.10760146575272311,0.21156638754078938,0.18508710096287317,0.2527653303563113
2015,0.22027904438663848,0.022745542388992845,0.22846703983279237,0.3313360798332279,0.5542907867595088,0.17535745441983686,0.011266893292988023,0.3260497564651075,0.6171935832678144
2016,0.29141035403229987,-0.017102442402544216,0.376169962628909,0.4347973680757402,1.118368099307947,0.2635713228793992,-0.25416560180665926,0.3944797631499921,0.7441815039782556
2017,0.30292778308381774,-0.027850203190414424,0.3502816046279784,0.2804001462522674,0.11938129692658417,0.18217192735554288,-0.04492090588645248,0.2728555866378424,0.6399276455461953
2018,0.6398621433049989,0.02317909980815469,0.481308939367471,0.49996252638928107,1.6318955171555847,0.47443039947094934,0.25495181028928005,0.5383968530691987,1.076630332541495
2019,0.20686933553058284,-0.04287774033647851,0.12077365313335475,0.31060065590581565,0.9049599667350192,0.06720888091134158,-0.059509756048791274,0.14767201809692132,0.26674875617324023
2020,-0.008711518478430214,-0.0023927664524110437,0.06720743128117901,0.10224357024335129,0.14574499321962064,0.019379465216782465,0.023529623783600684,-0.06510003367158868,-0.06356503875167108
2021,0.06261266098248086,-0.05719896107133737,0.07129679706677328,0.1817548055454179,0.3613269828014458,0.04609324383234137,0.04007464944124184,0.06961944303400114,0.12832200972909114
2022,0.12085153588439046,0.02263661667881811,0.20796324124412613,0.26724633645259566,0.637912990129393,0.09230413943276461,0.23612793448942648,0.20203494768155839,0.43418278662098486
2023,0.1801660378059846,-0.007694246232050506,0.06242042014823679,0.007304168546678591,0.1358664322919454,0.10137091943097087,-0.02919081943447943,0.06285458699366386,0.26580492234612074
2024,0.045890858318319294,-0.017294328595794495,0.0832493655221549,-0.0766135008497133,-0.2637873320202575,0.052571957734430796,0.040618407880417706,0.016963504451864564,0.03958329524158777
2025,0.638561421608435,0.022309357463037305,0.4563030041256717,0.5900093256255672,1.7293299237096273,0.44200151196489323,0.2493401960869963,0.5454753343117815,1.04580991350986
2026,-0.0037118862700561417,0.001902393642366329,0.06786599692345585,0.021116143161181267,-0.04802183457257936,0.011587680764021835,0.15784970815552968,0.027487161930369597,0.03869042901808206
